0	10588.3	11056.5	10091	302.129	-1
10	11075.7	11090.4	11066	6.86247	-1
20	11091.2	11093.2	11090.4	0.939745	-1
30	11093.4	11095.4	11092.9	0.494535	-1
40	11095.6	11097.4	11095.4	0.24435	-1
50	11097.2	11097.6	11097	0.175834	-1
60	11098.7	11098.9	11097.8	0.227985	-1
70	11099	11100.5	11098.9	0.345609	-1
80	11100.6	11100.6	11100.6	0.00666485	-1
90	11100.8	11102.7	11100.6	0.448328	-1
100	11102.7	11103.8	11102.4	0.190352	-1
110	11103	11103.8	11102.7	0.505382	-1
120	11103.8	11104.8	11103.8	0.170974	-1
130	11104.9	11104.8	11104.8	0.0176586	-1
140	11104.9	11105	11104.8	0.0725645	-1
150	11105	11105	11105	0	-1
160	11105	11105	11105	0	-1
170	11105	11105	11105	0	-1
180	11105	11105	11105	0	-1
190	11105	11105	11105	0	-1
200	11105	11105	11105	0	-1
210	11105	11105	11105	0	-1
220	11105	11105	11105	0	-1
230	11105	11105	11105	0	-1
240	11105	11105	11105	0	-1
250	11105	11105	11105	0	-1
260	11105	11105	11105	0	-1
270	11105	11105	11105	0	-1
280	11105	11105	11105	0	-1
290	11105	11105	11105	0	-1
300	11105	11105	11105	0	-1
310	11105	11105	11105	0	-1
320	11105	11105	11105	0	-1
330	11105	11105	11105	0	-1
340	11105	11105	11105	0	-1
350	11105	11105	11105	0	-1
360	11105	11105	11105	0	-1
370	11105	11105	11105	0	-1
380	11105	11105	11105	0	-1
390	11105	11105	11105	0	-1
400	11105	11105	11105	0	-1
410	11105	11105	11105	0	-1
420	11105	11105	11105	0	-1
430	11105	11105	11105	0	-1
440	11105	11105	11105	0	-1
450	11105	11105	11105	0	-1
460	11105	11105	11105	0	-1
470	11105	11105	11105	0	-1
480	11105	11105	11105	0	-1
490	11105	11105	11105	0	-1
500	11105	11105	11105	0	-1
